Come in!	Qǐng jìn!	请进！
I ran on the treadmill for 30 something minutes.	Wǒ zài pǎobùjīshang pǎole sānshílái fēnzhōng.	我在跑步机上跑了三十来分钟。
My clothes are soaked with sweat.	Wǒde yīfu dōu hànshī le.	我的衣服都汗湿了。
You're so fit.  (trim looking)	Nǐ tǐxíng nàme shòuliū.	你体形那么瘦溜。
No way can I exercise myself to be like you.	Wǒ kě méifǎr liànchéng nǐ nà yàngr.	我可没法儿练成你那样儿。
You're just like a fashion model.	Ni jiù gēn ge shízhuāng mótè shìde.	你就跟个时装模特似的。
If I could be halfway to where you are I'd be happy.	Wǒ yàoshi néng yǒu nǐde yíbànr jiù zhīzú le.	我要是能有你的一半儿就知足了。
How come I still don't seem to be better?  (I took my medicine...)	Wǒ zěnme hái bújiàn hǎo?	我怎么还不见好？
How can you slim down just like that?	Nǎ néng shuō shòu jiù shòu ne?	哪能说瘦就瘦呢？
Not only did I not lose weight, my appetite increased.	Tǐzhòng méi jiǎn bùshuō, fànliàng dào yuèláiyuèdà le.	体重没减不说，饭量倒越来越大了。
If I keep on this way, I'm afraid the more I exercise the fatter I'm going to get.	Zhème xiàqù, jiù pà yuèliànyùepàng le.	这么下去，就怕越练越胖了。
That can't happen.  (I disagree with you)	Nà dào búhuì.	那倒不会。
You can eat a little bit more to replenish your energy.	Nǐ kěyǐ shāowēi duō chī yìdiǎnr bǔchōng néngliàng.	你可以稍微多吃一点儿补充能量。
I might as well go on a weight loss program.	Wǒ gāncuì qù jiǎnféibān déle.	我干脆去减肥班得了。
Do you have a better suggestion?	Nǐ yǒuméiyǒu gènghǎo de tíyì?	你有没有更好的提议？
This place is a coffee shop.	Zhège dìdiǎn shi kāfēishì.	这个地点是咖啡室。
I do housework.	Wǒ zuò jiāwùshì.	我做家务事。
I don't have a definite morning routine.	Wǒ shàngwǔ méiyǒu yídìng de zuòxí.	我上午没有一定的做习。
I feel depressed.	Wǒ gǎndào hěn kǔmèn.	我感到很苦闷。
These two days I've been in an awful mood.	Zhè liǎng tiān lái yě jiù mèndéhuāng le.	这两天来也就闷得慌了！
He lives in Chinatown.	Tā zhù zài tángrénjiē.	他住在唐人街。
This is a Buddhist monastery.	Zhè shi ge fójiào sìmiào.	这是个佛教寺庙。
I want to get a mortgage.  (lit. loan to buy a house)	Wǒ xiǎng dàikuǎn mǎi fángzi.	我想贷款买房子。
I borrowed money from a friend.	Wǒ jiè péngyǒu de qián.	我借朋友的钱。
Normally it's much cheaper to rent a house than buy one or pay a mortgage.	Tōngcháng zūfángzi zhù yào bǐ mǎi fáng huò huán dàikuǎn yào piányì de duō.	通常租房子住要比买房或还贷款要便宜得多。
The car is in gear.	Qìchē guàshangdǎng.	汽车挂上挡。
In any case, even if we owe money, the interest is low.	Érqiě jiùsuàn qiànkuǎn, lìxī yě hěn dīde.	而且就算欠款，利息也很低的。
The current yearly interest rate is one percent.	Mùqián měinián de lìlǜ shi bǎi fēnzhī yī.	目前每年的利率是百分之一。 
You have to change gears.	Nǐ yào huàn dǎng.	你要换挡。 
He lent me some money at five percent.	Tā yǐ wǔfēn de lìxī jiè wǒ yì bǐ qián.	他以五分的利息借我一笔线。 
I'll tell you an especially funny joke.	Wǒ shuō ge tè hǎoxiào de xiàohuà gěi nǐ tīng.	我说个特好笑的笑话给你听。
If you go there, they'll be trying to get you to exercise.	Qù nàr, rénjiā shi shǐjìn ràng nǐ yùndòng.	去那儿，人家是使劲让你运动。
He'll try to get you to exercise, plus to eat less.	Tā shi shǐjìn ràng nǐ yùndòng, jiāshang shǎo chī dōngxi.	他是使劲让你运动，加上少吃东西。
Our neighbor goes every once in a while.	Wǒmen jiā línjū guò yízhènzi jiù qù yìhuí.	我们家邻居过一阵子就去一回。
I save myself from having to go pay tuition.	Wǒ shěngde qù jiāo xuéfèi.	我省得去交学费。
I couldn't go to work.	Méi fǎr qù shàngbān.	没法儿去上班。
You act as if you don't know me.  (when you see me)	Kànjiàn wǒ jiù gēn bú rènshi shìde.	看见我就跟不认识似的。
She's very satisfied. (e.g. to have such a good job)	Tā yǐjīng hěn zhīzúle.	她已经很知足了。
Who do you think will win the election this year?	Nǐ shuō jīnnián xuǎnjǔ shéi néng yíng.	你说今年选举谁能赢？
You think I should still go?	Nǐ shuō wǒ hái yàobuyào qù ne?	你说我还要不要去呢？
They clean right up.  (no sooner said than done)	Tāmen shuō gān jiù gān.	他们说干就干。
Our meeting broke up after just a couple of hours.	Wǒmen nà ge huì zhǐ kāile gèbǎ xiǎoshí jiù sàn le.	我们那个会只开了个把小时就散了。
What a pain! (2)	Zhè kě máfan le. Zhēn yàomìng.	这可麻烦了。真要命。
I have some business things to do.	Wo yǒu yìxiē shēngyì de shìqing yào zuò.	我有一些生意的事情要做。
I own some real estate.	Wǒ yōngyǒu yì xiē fángdìchǎn.	我拥有一些房地产。
I'm in the real estate business.	Wǒ zài zuò fángdìchǎn de shēngyì.	我在做房地产的生意。
I'm the landlord for 100 apartments.	Wǒ shi yíge yōngyǒu yìbǎi ge sùshè de wūzhǔ. 	我是一个拥有一百个宿舍的屋主。
My property has 14 buildings.	Wǒ de fángchǎn yǒu shísì zuò fángzi.	我的房产有十四座房子。
I have back problems.	Wǒ de bèi yǒu wèntí.	我的背有问题。
I need a chair to support my back.	Wǒ xūyào yì zhāng yǐzi lái zhīchēng wǒ bèi.	我需要一张椅子来支撑我背。
My dog acts like a puppy.	Wǒ de gǒu dédào xíngwéi xiàng yì zhī xiǎogǒu.	我的狗得到行为象一只小狗。
The dance teacher shows us some new steps.	Tiàowǔ lǎoshī zhǎnshì gěi wǒmen kàn yìxiē xīnde wǔbù. 	跳舞老师展示给我们看一些新的舞步。
Every few minutes you change partners.	Měigé jǐfēnzhōng nǐ yào huàn dādàng.	每隔几分钟你要换搭档。
You dance with someone else.	Yào hé biérén tiào.	要和别人跳。
Today's not only rainy, but also very windy.	Jīntiān xiàyǔ bùshuō, hái guā dà fēng.	今天下雨不说，还刮大风。
Not only is the style new, but also the price is not high.	Shìyàng xīn bùshuō, jiàqián hái búguì.	式样新不说，价钱还不贵。
I'm afraid driving is not as easy as you thought.	Kāichē jiùpà méiyǒu nǐ xiǎngde nàme róngyì.	开车就怕没有你想的那么容易。
It doesn't matter if you don't have an appointment, you just come.	Méi yùyuē yě méi guānxi, nǐ lái jiù déle.	没预约也没关系，你来就得了。
Who said it's boring?  No way!	Shéi shuō méiyǒuyìsi?  Méi de shìr.	谁说没有意思？没的事儿。
Only by sprinting all out did I catch up to him.	Wǒ shǐjìn kuàipǎo, cái zhuīshangle tā.	我使劲快跑，才追上了他。
He moved to this area.	Tā bǎ jiā bāndào zhè yídài lái le.	他把家搬到这一带来了。
I gave him a call to keep him from worrying.	Wǒ gěi tā dǎle ge diànhuà, shěngde tā zháojí.	我给他打了个电话，省得他着急。
He didn't order a drink.	Tā méi diǎn yǐnliào.	他没点饮料。
I ordered another order of shrimp dumplings.	Wǒ yòu jiàole yífèn xiājiǎo.	我又叫了一份虾饺。
One order, to go.	Yífèn, dǎbāo.	一份，打包。
Hurry up and order, I'm starving.	Kuài diǎn cài ba, wǒ èsǐle.	快点菜吧，我饿死了。
I want to order for delivery.  (calling a restaurant)	Wǒ yào jiào wàimài.	我要叫外卖。
*** 咳 ***	ké	咳
*** 嗽 ***	sòu	嗽
*** 冒 ***	mào	冒
*** 低 ***	dī	低
*** 护 ***	hù	护
*** 胸 ***	xiōng	胸
*** 拍 ***	pāi	拍
*** 灸 ***	jiǔ	灸
*** 熨 ***	yùn	熨
*** 赢 ***	yíng	赢
*** 糙 ***	cāo	糙
*** 将 ***	jiāng	将
*** 叠 ***	dié	叠
*** 率 ***	lǜ	率
*** 亿 ***	yì	亿
*** 册 ***	cè	册
*** 按 ***	àn	按
*** 证 ***	zhèng	证
*** 渐 ***	jiàn	渐
*** 策 ***	cè	策
*** 倡 ***	chàng	倡
*** 避 ***	bì	避
*** 孕 ***	yùn	孕
*** 堕 ***	duò	堕
*** 胎 ***	tāi	胎
*** 控 ***	kòng	控
*** 庭 ***	tíng	庭
*** 励 ***	lì	励
*** 规 ***	guī	规
*** 裁 ***	cái	裁
*** 舆 ***	yú	舆
*** 入 ***	rù	入
*** 严 ***	yán	严
*** 执 ***	zhí	执
*** 恨 ***	hèn	恨
*** 胖 ***	pàng	胖
*** 妇 ***	fù	妇
*** 绑 ***	bǎng	绑
*** 罚 ***	fá	罚
*** 责 ***	zé	责
*** 任 ***	rèn	任
*** 权 ***	quán	权
*** 闹 ***	nào	闹
*** 饥 ***	jī	饥
*** 荒 ***	huāng	荒
*** 达 ***	dá	达
*** 缺 ***	quē	缺
*** 股 ***	gǔ	股
*** 祖 ***	zǔ	祖
*** 付 ***	fù	付
The first time he participated in a competition he was the champ.	Tā dìyī cì cānjiā bǐsài jiù nále guànjūn.	他第一次参加比赛就拿了冠军。
I'm the same age as you.	Wǒ hé nǐ suìshù yíyàng dà.	我和你岁数一样大。
I'm afraid I won't pass the test tomorrow. (I'm afraid = looks like)	Jiùpà míngtiān kǎoshì yào bù jígé le.	就怕明天考试要不及格了。
What do you say, should we go swimming?	Nǐ shuō zánmen qùbuqù yóuyǒng?	你说咱们去不去游泳？
Just throw it out and buy a new one.  (i.e. a watch)	Gāncuì rēngdiào mǎi kuài xīnde ba.	干脆扔掉买块新的吧。
He's just like a brother to me.  (always helping me)	Tā jiù gēn wǒ gēge shìde.	他就跟我哥哥似的。
I forgot to bring the tickets and passports.	Wǒ wàngle dài jīpiào he hùzhào.	我忘了带机票和护照。
If only I was like that too.	Wǒ yàoshi yě shi zhè yàng jiù hǎo le.	我要是也是这样就好了。
It saves you the trouble of going yourself.	Shěngde nǐ zìjǐ qù le.	省得你自己去了。
Along the way I'll buy (and bring back) the book for you. (i.e. so you don't need to).	Wǒ shùnbiàn tì nǐ bǎ shū mǎilái ba.	我顺便替你把书买来吧。
In any case, I'll be at home.	Fǎnzhèng wǒ huì zài jiā.	反正我会在家。
Same old, same old...blindly busy all day long. (How's life?)	Jiù nà yàngr, chéng tiān xiā mánghū.	就那样儿，成天瞎忙乎。
She mentioned you yesterday.	Zuór tā hái shuōqi nǐ láizhe.	昨儿她还说起你来着。
I couldn't even hear clearly.	Wǒ dōu méi tīng qīngchu.	我都没听清楚。
Did you see your sister and (her) family?	Nǐ jiàndào nǐ mèimei tāmen le mā?	你见到你妹妹他们了吗？
He goes online to play games.	Tā shàngwǎng wánr yóuxì.	他上网玩儿游戏。
He called me just last week.	Shàng ge xīngqī tā hái gěi wǒ dǎ diànhuà láizhe.	上个星期他还给我打电话来着。
Let's get together.	Zán yíkuàir jùju.	咱一块儿聚聚。
He wishes he could get a lot of money.	Tā xīwàng néng dédào hěn duō qián.	他希望能得到很多钱。
I didn't get the prize.	Wǒ méiyǒu dédào dà jiǎng.	我没有得到大奖。
What type of house are you looking for?	Nǐ xiǎng zhǎo shénme lèixíng de fángzi?	你想找什么类型的房子？
He's not the type of person I like.	Tā búshì wǒ xǐhuān de nàzhǒng lèixíng.	他不是我喜欢的那种类型。
What wind blew you here?	Nǎ zhèn fēng bǎ nǐ gěi chuī dào zhèr lái la?	哪阵风把你给吹到这儿来啦？
Oh it's you, I was wondering who it was.	Shì nǐ ya, wǒ dāng shi shéi ne.	是你呀！我当是谁呢！
These days it's all like that.	Zhè niántóur dōu shi zhèyàng.	这年头儿都是这样。
That's the guys at work. (who call me boss)	Nà shi bānshàng nàhuǒrrén.	那是班上那伙儿人。
We two, we're buddies (i.e. equals, no need for formalities)	Zán liǎ shéi gēn shéi ya.	咱俩谁跟谁呀。
At any rate, you _are_ a manager.	Nǐ dàxiǎo yě shi ge lǎozǒng.	你大小也是个老总。
How could I call you call you by your nickname in front of everyone?	Wǒ nǎ néng dāngzhe dàhuǒr jiào nǐ de xiǎo míngr?	我哪能当着大伙儿叫你的小名儿？
We're trying to convince the government (authorities).	Wǒmen chángshì shuōfú zhèngfǔ.	我们尝试说服政府。
She didn't fulfill the duties of someone acting as a mother.	Tā méiyǒu jǐndào yíge zuò mǔqīn de zérèn.	她没有尽到一个做母亲的责任。
I couldn't let my dog into the room	Wǒ bù kěyǐ ràng wǒ de gǒu jìnwū.	我不可以让我的狗进屋。
He might have thought those things were his toys.	Tā huì yǐwéi nàxiē dōngxi shi tā de wánjù.	它会以为那些东西是它的玩具。
She hears a new song just once and she's got the lyrics memorized.	Yì shǒu xīn gē, tā zhǐ tīng yí biàn jiù jìzhù gēcí le.	一首新歌，她只听一遍就记住歌词了。
She has no siblings.	Tā méiyǒu xiōngdìjiěmèi.	她没有兄弟姐妹。
We'll treat her as a daughter.	Wǒmen huì bǎ tā dàngzuò nǚér kàndài.	我们会把她当作女儿看待。
For the time being, there's nothing to do but cancel Tuesday's plans. 	Xīngqīèr de jìhuà zhǐ néng zànshí qǔxiāo le.	星期二的计划只能暂时取消了。
Her biological mother was a drug addict.	Tā de shēngmǔ shi xīdúrén.	她的生母是吸毒人。
(Her) foster mother also was a bad person.	Yǎngmǔ yě shi huàirén.	养母也是坏人。
In any case, we have to have something to call you.	Zài zěnme yě děi yǒu ge shuōfǎ.	再怎么也得有个说法。
( The idea of) boys in skirts is always weird to me.	Wǒ zǒngshi juéde nánshēng chuān qúnzi hěn bièniǔ.	我总是觉得男生穿裙子很别扭。
Calling you Mister sounds awkward.	Jiào xiānsheng bièniǔ.	叫先生，别扭。
Call me anything you like.	Nǐ jǐnguǎn jiào.	你尽管叫。
These days gas is so expensive...	Zhè niántóu qìyóu nàme guì...	这年头汽油那么贵...
In any case, you do have to go.	Zài zěnme nǐ yě děi qù.	再怎么你也得去。
Is he angry with someone?	Tā zài gēn shéi shēngqì ba?	他在跟谁生气吧？
Okay, nuff said.	Dé, bié zài shuō le.	得，别再说了。
Go if you want, I don't care.	Nǐ ài qù jiù qù, wǒ bù guǎn.	你爱去就去，我不管。
He's a pain.	Tā hěn fán.	他很烦。
I'm so frustrated today.	Jīntiān fán sǐ le.	今天烦死了。
You don't like how I look?	Shìbushì kànzhe bú shùnyǎnr.	是不是看着不顺眼儿？
She chatters on all day.	Tā jiù chéngtiān dāodao.	她就成天叨叨。
Don't stick to an old way of looking at a person, okay?	Béng ná lǎoyǎnguāng kàn rén chéngbuchéng?	甭拿老眼光看人成不成？
If you see it a lot, then it looks good.  (e.g. new clothing style)	Kàn duō le, jiù kàn shùnyǎnr le bei.	看多了，就看顺眼儿了呗。
You're really cool.	Nǐ zhēn xíng.	你真行。
Drag her out more to go around the mall.	Nǐ duō lā tā qù shāngchǎng guàngguang. 	你多拉她去商场逛逛。
My mom's so stubborn.  (set in her ways)	Wǒ mā kě sǐxīnyǎnr le.	我妈可死心眼儿了。
What's so special about it? (i.e impressive, worthy of praise)	Zhè yǒu shénme liǎobuqǐ de?	这有什么了不起的？
To tell you the truth, I really like her.	Shuō xīnlǐhuà, wǒ zhēn shi tǐng xǐhuān tā.	说心里话，我真是挺喜欢她。
How could you talk to your mom like that?	Zěnme gēn nǐ mā shuō huà na?	怎么跟你妈说话哪？
Why are there people all over this place?	Zhè dìfang zěnme nǎrnǎr dōu shi rén a?	这地方怎么哪儿哪儿都是人啊？
Enough already, quit gabbling on.	Déle, bié liáo ge méi wánle.	得了，别聊个没完了。
In that case, let's come again tomorrow.  (if that's how things are...)	Yàoshi zhèmezhe, nà zánmen jiù míngtiān zài lái.	要是这么着，那咱们就明天再来。
